instant,cnt,abnormal,x
1,985,0.0,4.3415014039927e-05
2,801,0.0,0.0
3,1349,0.0,0.0
4,1562,0.0,0.0
5,1600,0.0,0.0
6,1606,0.0,0.0
7,1510,0.0,0.0
8,959,0.0,0.0
9,822,0.0,0.0
10,1321,0.0,0.0
11,1263,0.0,0.0
12,1162,0.0,0.0
13,1406,0.0,0.0
14,1421,0.0,0.0
15,1248,0.0,0.0
16,1204,0.0,0.0
17,1000,0.0,0.0
18,683,0.0,0.0
19,1650,0.0,0.0
20,1927,0.0,0.0
21,1543,0.0,0.0
22,981,0.0,0.0
23,986,0.0,0.0
24,1416,0.0,0.0
25,1985,0.0,0.0
26,506,0.0,0.0
27,431,0.0,0.0
28,1167,0.0,0.0
29,1098,0.0,0.0
30,1096,0.0,0.0003801575005439
31,1501,0.0,0.0005868529204515
32,1360,0.0,0.0007429702439932
33,1526,0.0,0.0005483923575649
34,1550,0.0,0.0003828302975952
35,1708,0.0,0.0002691566366217
36,1005,0.0,0.0002983351266916
37,1623,0.0,0.0002784595317849
38,1712,0.0,0.0002697547122813
39,1530,0.0,0.0002504481873315
40,1605,0.0,0.0001730375802703
41,1538,0.0,0.000174938552766
42,1746,0.0,0.0002121784515303
43,1472,0.0,0.0001811794564622
44,1589,0.0,0.0001085909218386
45,1913,0.0,0.0105065768294657
46,1815,0.009949977192711734,0.009949977192711
47,2115,0.008818853708598362,0.0088188537085979
48,2475,0.008132864470623113,0.0081328644706217
49,2927,0.007121150746174365,0.0071211507461743
50,1635,0.006247360782734024,0.0062473607827338
51,1812,0.005153795153857277,0.0051537951538581
52,1107,0.004083065843765166,0.0040830658437649
53,1450,0.003949218636272955,0.0039492186362738
54,1917,0.004429697865478088,0.0044296978654783
55,1807,0.004937718156195814,0.0049377181561944
56,1461,0.004850196893329106,0.0048501968933284
57,1969,0.004578789593706167,0.0045787895937063
58,2402,0.004285621580688015,0.0042856215806897
59,1446,0.004832460311976039,0.0048324603119753
60,1851,0.005231975298896185,0.0052319752988964
61,2134,0.00461859562664102,0.0046185956266416
62,1685,0.005292168404173014,0.0052921684041732
63,1944,0.005892629045183284,0.0058926290451828
64,2077,0.008437361208298744,0.0084373612082989
65,605,0.008856831718388247,0.0088568317183895
66,1872,0.0087690988390835,0.008769098839083
67,2133,0.008414385290140602,0.0084143852901397
68,1891,0.005652983602178141,0.0056529836021783
69,623,0.005324304025317694,0.0053243040253172
70,1977,0.00538002780444935,0.0053800278044486
71,2132,0.004890743001296327,0.0048907430012963
72,2417,0.003921227109938585,0.0039212271099381
73,2046,0.003664146339435126,0.0036641463394331
74,2056,0.0035842991330050644,0.0035842991330052
75,2192,0.003248924640487094,0.003248924640487
76,2744,0.003272200822319382,0.0032722008223189
77,3239,0.0034939265201288094,0.0034939265201279
